feature,importance
appliances_lag_1,0.6743906875770974
appliances_rolling_mean_6,0.021442414880871948
appliances_rolling_mean_24,0.015777157711314254
appliances_rolling_std_24,0.014853850907152044
appliances_rolling_std_6,0.014630159149940697
appliances_lag_12,0.01347749843231278
appliances_lag_3,0.012329730591906559
T4,0.011091583518261375
RH_1,0.011060036134654953
Press_mm_hg,0.010885000544778858
RH_3,0.010244247062604184
hour_sin,0.00927405886039917
T3,0.009273728667648199
RH_5,0.008813645603488003
hour_cos,0.008759839116559007
RH_2,0.008749739182898772
appliances_lag_6,0.008730614086920656
RH_9,0.008409694104851564
T6,0.00831437383351694
Visibility,0.008178255298601179
RH_out,0.007969096603907417
T8,0.007958620558251528
Windspeed,0.007742454603985942
T_out,0.007725749657227559
T2,0.007641022822701112
RH_6,0.007591395921304073
T1,0.007275964124642671
appliances_lag_24,0.007161272974529753
RH_8,0.0068699081627838525
T7,0.006613213886560456
Tdewpoint,0.006504932582042535
T5,0.00649400916889281
T9,0.005926020685149641
RH_7,0.005711843637559237
RH_4,0.005311406408799792
dayofweek_sin,0.003353920913463734
dayofweek_cos,0.0030494003849606756
is_weekend,0.00041345163745868383
